timestamp,latitude,longitude
1719784681,51.22,2.93
1719784719,51.22,4.44
1719784728,50.94,5.31
1719784753,50.81,4.31
1719784775,50.84,4.34
1719800308,51.23,4.44
1719800699,51.27,4.43
1719800776,50.82,4.31
1719801088,50.84,4.33
1719803491,51.23,2.93
1719806434,51.22,2.95
1719807056,51.2,3.22
1719807246,50.61,3.4
1719807368,51.19,3.22
1719808493,51.03,3.13
1719808633,51.32,4.94
1719810120,50.82,3.25
1719810130,50.82,3.26
1719811618,50.94,5.3
1719816950,51.22,4.42
1719818496,50.47,4.19
1719818868,50.46,4.19
1719819541,50.41,4.17
1719820185,50.47,3.95
1719820567,50.45,3.94
1719820677,51.01,3.78
1719832297,51.33,4.94
1719832367,51.46,4.45
1719834763,51.34,3.28
1719859162,50.62,3.39
1719872188,51.22,4.45
1719891278,51.36,4.63
1719892485,50.93,5.33
1719894564,50.97,5.49
1719894664,50.97,5.5
1719907637,51.31,3.14
1719977404,50.34,3.91
1719999883,51.01,3.79
1720132292,50.4,4.44
1720132835,50.42,4.53
1720135646,50.42,4.54
1720259364,51.08,2.6
1720259847,51.08,2.59
1720282144,50.83,4.35
1720289784,50.62,5.57
1720290729,50.62,5.58
1720761976,51.22,2.96
1721722271,51.31,3.13
1722520348,50.6456,4.3658
1722755995,51.19,4.37
1723020692,50.65,4.36
1724171314,50.16,5.27
1724174488,49.68,5.81
1724175261,49.68,5.82
1727032723,50.67,4.62
1727669361,50.78,5.47
1730662261,50.45,4.82
1730889037,50.45,4.83
1732679241,51.22,2.93
