time_utc,temperature_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snowfall_height (m),freezing_level_height (m),weather_code (wmo code),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_direction_10m (%),wind_direction_80m (%),wind_gusts_10m (km/h),gps_lat,gps_lon
1722523500,21.8,0.0,0.0,0.0,3270.0,3810.0,3,6.8,8.8,1,348,14.8,51.4631,4.4509
1722528900,23.2,0.0,0.0,0.0,3330.0,3830.0,3,10.8,15.4,327,331,19.8,51.2265,2.9282
1722532500,23.6,0.0,0.0,0.0,3360.0,3890.0,0,10.4,14.7,338,341,20.2,50.9673,5.4948
1722537900,22.5,0.0,0.0,0.0,3470.0,3840.0,1,9.0,13.0,26,23,16.6,50.818,4.2878
1722540600,22.2,0.0,0.0,0.0,3430.0,3820.0,2,10.1,15.4,28,27,18.7,51.2157,4.4213
1722547800,20.6,0.0,0.0,0.0,3330.0,3820.0,1,5.8,11.9,35,45,9.7,51.2231,2.9311
1722552300,19.5,0.0,0.0,0.0,3300.0,3860.0,2,3.6,11.6,49,70,6.8,51.2216,2.933
1722552300,19.5,0.0,0.0,0.0,3300.0,3860.0,2,3.6,11.6,49,70,6.8,50.8893,4.4069
1722560400,19.6,0.0,0.0,0.0,3150.0,3810.0,2,2.9,8.4,132,146,4.7,50.8893,4.4069
1722563100,18.2,0.0,0.0,0.0,3110.0,3780.0,0,4.3,5.3,47,104,5.0,50.8893,4.4069
1722570300,17.0,0.0,0.0,0.0,3010.0,3620.0,3,3.6,8.1,39,97,4.7,51.2281,2.9267
1722570300,17.0,0.0,0.0,0.0,3010.0,3620.0,3,3.6,8.1,39,97,4.7,50.8358,4.3369
1722579300,16.7,0.0,0.0,0.0,3090.0,3520.0,3,2.5,10.5,118,151,5.0,50.818,4.2913
1722591000,21.3,0.0,0.0,0.0,3170.0,3480.0,1,5.4,6.3,80,86,14.0,51.1734,4.4544
1722601800,24.6,0.0,0.0,0.0,3080.0,3550.0,0,6.1,7.7,40,35,16.9,50.6845,4.376
1722609000,25.8,0.0,0.0,0.0,3110.0,3570.0,2,5.4,6.0,74,73,16.6,50.8607,4.3624
1722612600,26.0,0.0,0.0,0.0,3170.0,3590.0,0,4.0,4.2,20,10,13.3,51.4632,4.4509
1722614400,25.9,0.0,0.0,0.0,3240.0,3550.0,0,4.3,5.6,311,295,12.6,50.6845,4.3758
1722616200,26.0,0.0,0.0,0.0,3150.0,3650.0,2,3.2,4.6,352,344,11.5,50.9672,5.4948
1722619800,24.5,0.0,0.0,0.0,3030.0,3700.0,2,6.8,11.2,321,320,17.3,51.272,4.4314
1722625200,24.4,0.0,0.0,0.0,3330.0,3870.0,0,7.9,10.2,73,77,13.3,50.6839,4.3759
1722625200,24.4,0.0,0.0,0.0,3330.0,3870.0,0,7.9,10.2,73,77,13.3,50.8607,4.3624
1722636000,21.3,0.0,0.0,0.0,3270.0,3620.0,3,11.2,20.0,248,257,18.7,50.9861,3.8208
1722636000,21.3,0.0,0.0,0.0,3270.0,3620.0,3,11.2,20.0,248,257,18.7,50.9861,3.8208
1722639600,19.8,0.0,0.0,0.0,3430.0,3710.0,2,7.6,20.0,274,264,13.7,51.1883,3.223
1722644100,20.4,0.0,0.0,0.0,3210.0,3650.0,1,7.9,16.8,290,291,18.4,51.1873,3.2236
1722644100,20.4,0.0,0.0,0.0,3210.0,3650.0,1,7.9,16.8,290,291,18.4,51.2245,4.4415
1722645900,19.9,0.0,0.0,0.0,2910.0,3760.0,3,9.4,16.8,281,282,19.8,51.1883,3.2229
1722646800,19.6,0.0,0.0,0.0,2760.0,3810.0,3,10.1,17.2,276,277,20.5,51.2245,4.4415
1722649500,19.1,0.0,0.0,0.0,2840.0,3730.0,3,11.2,18.6,266,270,21.2,51.2245,4.4415
1722652200,18.7,0.0,0.0,0.0,2760.0,3740.0,3,11.2,18.2,257,261,22.3,51.198,3.2166
1722652200,18.7,0.0,0.0,0.0,2760.0,3740.0,3,11.2,18.2,257,261,22.3,51.2245,4.4415
1722653100,18.5,0.0,0.0,0.0,2700.0,3750.0,3,10.8,17.9,253,258,22.7,51.1874,3.2236
1722654000,18.2,0.0,0.0,0.0,2650.0,3770.0,3,10.8,17.5,250,254,22.7,50.4193,4.5345
1722654900,17.8,0.0,0.0,0.0,2690.0,3750.0,3,10.8,17.5,246,250,22.7,51.2245,4.4415
1722657600,16.3,0.0,0.0,0.0,2790.0,3700.0,2,10.8,18.6,234,239,22.0,51.2245,4.4415
1722658500,16.0,0.0,0.0,0.0,2910.0,3700.0,3,10.8,18.6,237,242,22.0,51.198,3.2165
1722664800,16.4,0.0,0.0,0.0,2960.0,3940.0,3,13.0,20.4,248,251,26.3,50.84,4.2057
1722671100,16.5,0.0,0.0,0.0,2700.0,3900.0,3,10.4,16.8,241,247,23.0,51.2245,4.4415
1722673800,17.0,0.0,0.0,0.0,2640.0,3830.0,3,9.4,15.1,240,247,20.9,50.4195,4.5349
1722673800,17.0,0.0,0.0,0.0,2640.0,3830.0,3,9.4,15.1,240,247,20.9,51.215,4.4213
1722679200,19.0,0.0,0.0,0.0,2810.0,3750.0,3,10.8,15.4,230,234,21.6,51.1974,3.2164
1722685500,19.7,0.0,0.0,0.0,2530.0,3660.0,3,8.6,13.3,222,230,19.4,50.4195,4.5349
1722688200,20.6,0.0,0.0,0.0,2830.0,3620.0,3,7.9,12.6,223,232,20.2,50.853,3.6036
1722696300,22.2,0.0,0.0,0.0,3250.0,3580.0,3,12.2,20.0,235,236,26.3,50.4195,4.5349
1722697200,22.0,0.0,0.0,0.0,3260.0,3580.0,3,12.6,20.7,232,234,26.6,51.0348,3.7111
1722698100,21.6,0.0,0.0,0.0,3270.0,3560.0,3,14.0,22.8,240,241,28.8,50.8169,5.1752
1722704400,19.2,0.0,0.0,0.0,3140.0,3680.0,3,16.6,25.6,248,251,28.8,51.1977,3.217
1722706200,19.9,0.0,0.0,0.0,2900.0,3700.0,3,14.8,23.2,244,248,26.6,50.4195,4.5349
1722706200,19.9,0.0,0.0,0.0,2900.0,3700.0,3,14.8,23.2,244,248,26.6,50.8236,4.3185
1722707100,20.3,0.0,0.0,0.0,2770.0,3700.0,3,13.7,22.1,241,246,25.9,51.3116,3.1344
1722716100,19.5,0.0,0.0,0.0,3130.0,3480.0,3,13.0,22.5,217,226,21.2,50.4195,4.5349
1722725100,18.5,0.0,0.0,0.0,3160.0,3420.0,3,10.1,23.2,235,238,18.0,51.225,4.441
1722727800,17.9,0.0,0.0,0.0,3240.0,3490.0,3,8.3,19.6,236,240,14.4,51.225,4.441
1722730500,17.6,1.8,0.0,0.0,3280.0,3510.0,63,4.3,10.5,284,251,9.4,51.225,4.441
1722732300,18.0,1.8,0.0,0.0,3250.0,3470.0,63,1.8,4.6,11,262,5.0,51.1909,3.2222
1722732300,18.0,1.8,0.0,0.0,3250.0,3470.0,63,1.8,4.6,11,262,5.0,51.2215,2.9333
1722733200,18.0,1.8,0.0,0.0,3230.0,3450.0,63,1.1,3.2,55,267,4.3,51.225,4.441
1722734100,17.9,0.6,0.0,0.0,3210.0,3480.0,61,1.1,4.2,24,266,5.0,50.4196,4.5349
1722744000,17.6,0.0,0.0,0.0,2210.0,3540.0,3,10.4,18.6,317,317,22.3,51.198,3.2167
1722749400,17.0,0.0,0.0,0.0,2050.0,3710.0,3,6.1,10.5,325,313,15.1,51.026,3.1252
1722750300,16.9,0.0,0.0,0.0,2050.0,3720.0,3,5.8,10.5,325,310,14.0,51.0147,3.7588
1722755700,16.9,0.1,0.0,0.0,2230.0,3750.0,51,5.0,7.4,316,314,9.4,50.4195,4.5349
1722762000,17.1,0.0,0.0,0.0,2040.0,3800.0,3,3.2,4.6,317,332,8.3,50.9672,5.4948
1722763800,17.3,0.0,0.0,0.0,2000.0,3860.0,3,4.3,5.6,268,285,9.0,51.0351,3.7111
1722766500,17.6,0.0,0.0,0.0,1940.0,3910.0,3,5.4,6.7,239,251,9.4,51.227,2.9268
1722766500,17.6,0.0,0.0,0.0,1940.0,3910.0,3,5.4,6.7,239,251,9.4,51.2996,3.1541
1722766500,17.6,0.0,0.0,0.0,1940.0,3910.0,3,5.4,6.7,239,251,9.4,50.4196,4.5349
1722777300,18.1,0.0,0.0,0.0,2140.0,3850.0,3,6.1,9.5,280,281,13.0,50.4195,4.5349
1722780900,18.6,0.0,0.0,0.0,2660.0,3870.0,3,4.0,5.6,297,297,14.4,50.8392,4.342
1722780900,18.6,0.0,0.0,0.0,2660.0,3870.0,3,4.0,5.6,297,297,14.4,51.1872,3.2235
1722783600,20.2,0.0,0.0,0.0,2200.0,3790.0,3,5.4,7.7,340,332,14.4,51.1872,3.2234
1722789000,20.5,0.0,0.0,0.0,2620.0,3850.0,3,4.0,5.3,345,334,12.2,51.1872,3.2235
1722799800,19.5,0.0,0.0,0.0,3530.0,4030.0,2,4.3,6.7,69,79,7.9,50.4195,4.5349
1722800700,19.0,0.0,0.0,0.0,3510.0,4070.0,3,4.3,8.1,78,95,7.6,50.9655,3.8668
1722808800,17.9,0.0,0.0,0.0,3590.0,4070.0,3,4.7,11.9,71,120,7.6,51.1876,3.2235
1722814200,17.3,0.0,0.0,0.0,3700.0,4180.0,3,5.0,17.9,148,148,8.3,51.2245,4.4412
1722814200,17.3,0.0,0.0,0.0,3700.0,4180.0,3,5.0,17.9,148,148,8.3,51.1876,3.2234
1722819600,17.5,0.0,0.0,0.0,3580.0,4180.0,3,5.8,12.6,170,212,7.9,50.4189,4.5336
1722821400,17.1,0.0,0.0,0.0,3530.0,4200.0,3,5.4,11.9,185,222,9.0,51.1917,3.2211
1722825000,16.4,0.0,0.0,0.0,3710.0,4210.0,3,8.3,17.5,221,242,15.1,51.2251,4.4405
1722830400,15.6,0.0,0.0,0.0,3950.0,4270.0,3,7.9,14.7,240,249,20.2,51.1382,4.5436
1722833100,15.2,0.0,0.0,0.0,4060.0,4380.0,1,7.6,14.4,245,254,14.0,51.3234,4.9382
1722838500,14.9,0.0,0.0,0.0,3950.0,4320.0,0,9.4,16.5,242,251,15.5,50.8716,4.3681
1722841200,15.4,0.0,0.0,0.0,3930.0,4380.0,0,7.9,13.3,236,246,14.8,50.5998,4.1321
1722843900,16.1,0.0,0.0,0.0,3930.0,4380.0,0,7.6,12.3,237,244,16.6,50.4091,4.1735
1722843900,16.1,0.0,0.0,0.0,3930.0,4380.0,0,7.6,12.3,237,244,16.6,50.9559,5.3608
1722846600,17.1,0.0,0.0,0.0,3950.0,4370.0,0,7.9,11.2,236,242,17.6,50.6845,4.3758
1722846600,17.1,0.0,0.0,0.0,3950.0,4370.0,0,7.9,11.2,236,242,17.6,50.46,4.2177
1722847500,17.5,0.0,0.0,0.0,3960.0,4370.0,0,7.9,10.9,236,241,17.6,50.8336,3.3906
1722852000,18.7,0.0,0.0,0.0,3920.0,4370.0,2,8.6,11.6,228,235,20.2,50.9882,4.4748
1722855600,20.9,0.0,0.0,0.0,3880.0,4410.0,0,9.7,14.0,237,242,22.7,51.3632,4.4598
1722874500,24.9,0.0,0.0,0.0,3780.0,4500.0,0,5.4,7.4,237,237,15.8,51.0727,3.5383
1722877200,25.4,0.0,0.0,0.0,3760.0,4480.0,0,5.8,7.7,244,241,15.5,50.9671,5.4947
1722879000,25.1,0.0,0.0,0.0,3610.0,4490.0,0,5.4,7.4,232,231,14.0,50.6845,4.3759
1722882600,24.4,0.0,0.0,0.0,3410.0,4510.0,0,2.9,4.2,168,211,9.0,50.8359,4.3359
